3549,77;-3,18;/
365,79;-4,20;+
3654,00;-0,84;+
3750,58;9,27;*
3824,39;8,00;^
3849,29;6,55;/
3869,86;-8,44;/
3888,20;-5,05;+
3914,95;3,43;-
3964,55;-0,61;+
3982,42;3,61;*
3988,22;4,00;^
4046,18;-0,67;-
4138,14;3,48;+
4141,65;4,87;/
4161,50;-4,66;/
4165,78;1,00;^
418,85;1,78;*
4196,27;-6,21;*
4213,52;-5,94;*
4230,19;-3,77;+
4234,86;-1,00;^
4281,31;2,00;^
4289,81;-8,28;+
4295,96;-4,91;-
4299,12;2,80;-
4337,16;3,57;+
441,69;6,00;^
4411,63;-0,40;+
4426,31;-3,00;^
4449,18;2,56;*
4464,38;-3,87;-
4479,88;0,82;-
4519,82;2,33;-
4687,43;0,00;^
4719,81;4,15;-
473,37;-5,85;+
4746,42;3,65;*
4804,39;6,37;-
4889,34;-9,08;*
4903,49;-9,24;+
4953,53;7,21;+
4964,30;-1,72;*
4969,14;-8,00;^
514,90;0,00;^
536,24;2,26;/
585,61;0,73;*
59,76;5,01;-
6,21;-8,90;-
645,90;7,34;*
651,17;4,13;+
694,51;-2,60;+
76,41;2,99;-
841,79;-8,92;+
91,54;-4,03;+
931,71;-2,00;^
986,43;1,90;*
